# generated by: python3 scripts/07-pnr-settlement.py  (repo: fluxwhitepaper; run 2026-09-07)
# generated on: 2026-09-07
# DENOMINATION: REAL (secondary analysis). Price multiple m = FLUX price at time t / FLUX price at activation is an EXOGENOUS AXIS, not a forecast.
# Model: FLUX-denominated hosting prices are rebased to hold real cost constant (07-pricing-and-price.md), so FLUX inflow = real demand / m.
# Real demand grows at g per year from V0 (real value of 1,431,600 FLUX at activation). Issuance is fixed in FLUX (planned path, PA-halved).
# Entry = years after activation at which rho*V0*(1+g)^t/m >= operator issuance (stage-wise), or 'never' if not by year 20 and not on the tail.
# g \ m 0.5 1.0 2.0 5.0 10.0
0.00 14.3 never never never never
0.10 7.3 11.3 14.3 19.3 26.1
0.25 5.3 7.3 9.3 12.3 14.3
0.50 3.3 5.3 6.3 7.3 9.3
1.00 2.3 3.3 4.3 5.3 6.3
2.00 2.3 2.3 3.3 3.3 4.3
