# generated by: python3 scripts/21-private-renewal.py  (repo: fluxwhitepaper; run 2026-09-03)
# generated on: 2026-09-03
# demand_multiplier  tx_per_block  pct_of_block  proofs_per_block  verify_s_at_2ms  verify_s_at_10ms
1 0.0123 0.0009 0.02 0.0000 0.0002
10 0.1230 0.0092 0.25 0.0005 0.0025
100 1.2298 0.0922 2.46 0.0049 0.0246
1000 12.2984 0.9224 24.60 0.0492 0.2460
