# generated by: python3 scripts/07-pnr-settlement.py  (repo: fluxwhitepaper; run 2026-09-03)
# generated on: 2026-09-03
# inputs: Cumulus rotation R_C=3246 blocks (fleet per evidence/design/02-pnr.md; _measured_network.md §3 has 3247),
#   tier ratio lambda_S = 9/13.5, rho at activation 0.20, cap 0.50, activation revenue ASSUMPTION
#   V0 = 1193 apps * 100 FLUX/month * 12 = 1,431,600 FLUX/yr (02-pnr.md; NOT measured), F0 = rho*V0/1051200 FLUX/block.
# half_life = ln2 / -ln(1-1/K); decay_per_rotation = 1-(1-1/K)^R_C; spread_decay = (1-1/K)^-(R_C-1) - 1
#   (first vs last payee within one Cumulus rotation, zero inflow); spread_ss_bound = e^(R/K)(1+R/K)-1
#   (loose bound at steady state with all rotation inflow arriving as a lump); recapture = lambda_S/K
#   (fraction of the attacker's own pool contribution recovered in the targeted block, one Stratus node).
# K half_life_blocks half_life_days decay_per_rotation spread_decay spread_ss_bound recapture_S_of_opshare recapture_S_of_payment_rho020 recapture_S_of_payment_rho050 pool_steady_state_flux_at_V0 fill_time_days_1K
3246 2249.6 0.781 0.63218 1.71786 4.43656 0.00020538 0.00004108 0.00010269 884.13 1.13
10000 6931.1 2.407 0.27720 0.38336 0.83255 0.00006667 0.00001333 0.00003333 2723.74 3.47
32460 22499.2 7.812 0.09516 0.10514 0.21569 0.00002054 0.00000411 0.00001027 8841.27 11.27
64920 44998.8 15.625 0.04877 0.05126 0.10383 0.00001027 0.00000205 0.00000513 17682.55 22.54
86400 59887.6 20.794 0.03687 0.03827 0.07729 0.00000772 0.00000154 0.00000386 23533.15 30.00
